  0.0000000E+00  0.0000000E+00
  6.3466519E-02  6.3423924E-02
  0.1269330      0.1265925    
  0.1903996      0.1892512    
  0.2538661      0.2511480    
  0.3173326      0.3120334    
  0.3807991      0.3716625    
  0.4442656      0.4297949    
  0.5077322      0.4861968    
  0.5711987      0.5406408    
  0.6346653      0.5929080    
  0.6981318      0.6427877    
  0.7615983      0.6900791    
  0.8250649      0.7345918    
  0.8885314      0.7761466    
  0.9519980      0.8145761    
   1.015465      0.8497255    
   1.078931      0.8814535    
   1.142398      0.9096321    
   1.205864      0.9341480    
   1.269331      0.9549024    
   1.332797      0.9718117    
   1.396264      0.9848078    
   1.459730      0.9938385    
   1.523197      0.9988673    
   1.586663      0.9998741    
   1.650130      0.9968547    
   1.713597      0.9898213    
   1.777063      0.9788023    
   1.840530      0.9638420    
   1.903996      0.9450006    
   1.967463      0.9223540    
   2.030929      0.8959934    
   2.094396      0.8660250    
   2.157862      0.8325694    
   2.221329      0.7957613    
   2.284796      0.7557490    
   2.348262      0.7126936    
   2.411729      0.6667683    
   2.475195      0.6181583    
   2.538662      0.5670591    
   2.602128      0.5136765    
   2.665595      0.4582256    
   2.729061      0.4009295    
   2.792528      0.3420191    
   2.855994      0.2817315    
   2.919461      0.2203094    
   2.982928      0.1580002    
   3.046394      9.5054813E-02
   3.109861      3.1726673E-02
   3.173327     -3.1729225E-02
   3.236794     -9.5057368E-02
   3.300260     -0.1580027    
   3.363727     -0.2203119    
   3.427193     -0.2817339    
   3.490660     -0.3420215    
   3.554127     -0.4009319    
   3.617593     -0.4582279    
   3.681060     -0.5136787    
   3.744526     -0.5670611    
   3.807993     -0.6181602    
   3.871459     -0.6667702    
   3.934926     -0.7126953    
   3.998392     -0.7557507    
   4.061859     -0.7957627    
   4.125325     -0.8325707    
   4.188792     -0.8660262    
   4.252258     -0.8959945    
   4.315725     -0.9223549    
   4.379191     -0.9450014    
   4.442658     -0.9638426    
   4.506124     -0.9788028    
   4.569591     -0.9898217    
   4.633058     -0.9968549    
   4.696524     -0.9998741    
   4.759991     -0.9988672    
   4.823457     -0.9938383    
   4.886924     -0.9848074    
   4.950390     -0.9718111    
   5.013857     -0.9549017    
   5.077323     -0.9341472    
   5.140790     -0.9096312    
   5.204257     -0.8814524    
   5.267723     -0.8497244    
   5.331190     -0.8145747    
   5.394656     -0.7761451    
   5.458123     -0.7345902    
   5.521589     -0.6900774    
   5.585056     -0.6427859    
   5.648522     -0.5929061    
   5.711989     -0.5406389    
   5.775455     -0.4861947    
   5.838922     -0.4297928    
   5.902389     -0.3716603    
   5.965855     -0.3120311    
   6.029322     -0.2511456    
   6.092788     -0.1892488    
   6.156255     -0.1265900    
   6.219721     -6.3421398E-02
   6.283188      2.5590314E-06
